id,nume,post,iesiri_din_poarta,plonjari,goluri_primite,minute_jucate,boxari,parade,pase_gol,sanse_create,goluri,precizie_pase,suturi,suturi_blocate,precizie_suturi,centrari,pase_cheie,mingi_profunzime,pase,dueluri_aeriene_pierdute,dueluri_aeriene_castigate,degajari,deposedat,driblinguri_incercate,driblinguri_reusite,dueluri_pierdute,dueluri_castigate,faulturi,interceptii,recuperari,deposedari_incercate,deposedari_reusite,faultat,cartonase_galbene,cartonase_rosii,rating
169756,Adrian,portar,0,1,0,51,0,2,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2
303339,Sadio Mané,atacant,0,0,0,16,0,0,0,0,0,82,0,0,0,0,0,0,11,0,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,6.1
319784,Alisson Becker,portar,0,1,0,39,0,2,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.2
760712,Trent Alexander-Arnold,fundas,0,0,0,90,0,0,1,2,0,60,2,0,50,8,3,10,40,0,1,1,1,1,0,4,2,1,2,7,1,1,0,0,0,7.7
568571,Joseph Gomez,fundas,0,0,0,90,0,0,0,0,0,83,0,0,0,0,1,6,54,0,4,0,0,0,0,2,6,2,0,4,2,1,0,0,0,7
209405,Virgil van Dijk,fundas,0,0,0,90,0,0,0,0,1,88,1,0,100,0,0,5,57,1,5,3,0,0,0,1,8,0,5,3,3,1,0,0,0,8.4
357880,Andrew Robertson,fundas,0,0,0,90,0,0,0,0,0,91,2,0,0,9,1,6,70,1,1,1,1,0,0,2,2,0,1,6,1,0,0,0,0,7
156008,Jordan Henderson,mijlocas,0,0,0,90,0,0,0,0,0,83,2,1,50,4,0,11,54,0,0,0,0,3,2,5,6,2,2,6,2,1,2,0,0,7.4
359188,Fabinho,mijlocas,0,0,0,90,0,0,0,0,0,79,1,0,100,0,1,3,42,0,1,0,1,1,1,3,11,1,2,10,8,5,1,0,0,7.9
108038,Georginio Wijnaldum,mijlocas,0,0,0,90,0,0,0,0,0,92,0,0,0,0,0,3,39,0,1,0,2,1,1,5,4,2,1,6,0,0,2,0,0,6.6
